epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,785.034,0.12088,0.12917,0.91766,0.99998,1,0.995,0.99493,0.0708,0.07585,1.05463,0.0011486,0.0011486,0.0011486
45,802.372,0.12618,0.13452,0.91838,1,1,0.995,0.99472,0.05606,0.08194,1.05349,0.0011288,0.0011288,0.0011288
46,819.546,0.12119,0.12389,0.91209,0.99998,1,0.995,0.99497,0.1093,0.08847,1.07303,0.001109,0.001109,0.001109
47,836.598,0.11874,0.12193,0.91414,0.99986,1,0.995,0.995,0.11599,0.12545,1.07341,0.0010892,0.0010892,0.0010892
48,853.674,0.11591,0.1238,0.91314,0.99998,1,0.995,0.995,0.0887,0.07551,1.06221,0.0010694,0.0010694,0.0010694
49,870.934,0.11894,0.12593,0.92113,0.99998,1,0.995,0.99496,0.09676,0.08293,1.05955,0.0010496,0.0010496,0.0010496
50,888.576,0.1169,0.12599,0.91645,0.99998,1,0.995,0.99499,0.07118,0.09935,1.05173,0.0010298,0.0010298,0.0010298
51,905.864,0.11379,0.12069,0.90928,0.99994,1,0.995,0.995,0.06059,0.07675,1.05095,0.00101,0.00101,0.00101
52,923.242,0.11304,0.11983,0.90766,1,1,0.995,0.995,0.06727,0.07272,1.05354,0.0009902,0.0009902,0.0009902
53,940.381,0.11197,0.11962,0.91245,0.99998,1,0.995,0.99491,0.06463,0.07503,1.05111,0.0009704,0.0009704,0.0009704
54,957.566,0.1158,0.12215,0.91505,0.99998,1,0.995,0.995,0.04864,0.06018,1.04666,0.0009506,0.0009506,0.0009506
55,975.375,0.11209,0.12154,0.91256,0.99989,1,0.995,0.99488,0.08086,0.08235,1.05366,0.0009308,0.0009308,0.0009308
56,992.63,0.11544,0.12271,0.9147,1,1,0.995,0.995,0.06658,0.06725,1.05237,0.000911,0.000911,0.000911
57,1009.96,0.11211,0.11584,0.91245,0.99998,1,0.995,0.995,0.09981,0.08122,1.06108,0.0008912,0.0008912,0.0008912
58,1027.35,0.10502,0.1163,0.90883,0.99988,1,0.995,0.99488,0.08928,0.09841,1.05848,0.0008714,0.0008714,0.0008714
59,1045.13,0.10094,0.11365,0.91024,1,1,0.995,0.99488,0.06015,0.05999,1.05099,0.0008516,0.0008516,0.0008516
60,1062.5,0.09936,0.11072,0.90624,0.99998,1,0.995,0.99488,0.06473,0.08969,1.05438,0.0008318,0.0008318,0.0008318
61,1080.21,0.10368,0.11155,0.9075,0.99998,1,0.995,0.99493,0.0678,0.07718,1.05621,0.000812,0.000812,0.000812
62,1097.57,0.10344,0.11363,0.91496,1,1,0.995,0.99488,0.07512,0.06812,1.05005,0.0007922,0.0007922,0.0007922
63,1114.88,0.10036,0.11296,0.90688,1,1,0.995,0.99497,0.07292,0.08518,1.05363,0.0007724,0.0007724,0.0007724
64,1132.47,0.10306,0.11219,0.91289,0.99997,1,0.995,0.99488,0.09993,0.11831,1.08896,0.0007526,0.0007526,0.0007526
65,1149.74,0.09858,0.10756,0.90882,0.99998,1,0.995,0.99494,0.0509,0.07285,1.04686,0.0007328,0.0007328,0.0007328
66,1167,0.09533,0.10375,0.90876,1,1,0.995,0.99484,0.04677,0.0625,1.04895,0.000713,0.000713,0.000713
67,1184.3,0.09193,0.10149,0.90609,1,1,0.995,0.995,0.09319,0.09591,1.05767,0.0006932,0.0006932,0.0006932
68,1201.58,0.09192,0.10428,0.90542,1,1,0.995,0.99496,0.08649,0.07015,1.05945,0.0006734,0.0006734,0.0006734
69,1218.81,0.09003,0.10018,0.90358,0.99998,1,0.995,0.99493,0.06635,0.06091,1.05017,0.0006536,0.0006536,0.0006536
70,1236.2,0.09174,0.10119,0.90395,0.99997,1,0.995,0.99494,0.09208,0.10848,1.05864,0.0006338,0.0006338,0.0006338
71,1253.48,0.09199,0.10056,0.90666,0.99998,1,0.995,0.99492,0.05433,0.08236,1.04835,0.000614,0.000614,0.000614
72,1270.8,0.09007,0.09954,0.9078,0.99998,1,0.995,0.99498,0.06539,0.09849,1.05204,0.0005942,0.0005942,0.0005942
73,1288.22,0.0875,0.09655,0.89941,1,1,0.995,0.99488,0.07785,0.07725,1.05539,0.0005744,0.0005744,0.0005744
74,1305.57,0.08849,0.09544,0.90843,0.99998,1,0.995,0.9949,0.05461,0.07114,1.04843,0.0005546,0.0005546,0.0005546
75,1322.85,0.08499,0.09261,0.90314,1,1,0.995,0.99498,0.0794,0.08199,1.05515,0.0005348,0.0005348,0.0005348
76,1340.11,0.07944,0.09246,0.90053,1,1,0.995,0.99488,0.09987,0.11664,1.07658,0.000515,0.000515,0.000515
77,1357.45,0.08252,0.09261,0.89685,1,1,0.995,0.99488,0.05556,0.06604,1.05251,0.0004952,0.0004952,0.0004952
78,1374.7,0.07857,0.09092,0.89847,0.99998,1,0.995,0.99499,0.09773,0.11574,1.06585,0.0004754,0.0004754,0.0004754
79,1392.09,0.07604,0.08944,0.89561,0.99998,1,0.995,0.995,0.06819,0.0633,1.05163,0.0004556,0.0004556,0.0004556
80,1409.34,0.07798,0.08965,0.8979,1,1,0.995,0.99493,0.05356,0.06727,1.04827,0.0004358,0.0004358,0.0004358
81,1426.69,0.07866,0.08833,0.89916,1,1,0.995,0.995,0.067,0.05974,1.05079,0.000416,0.000416,0.000416
82,1444.47,0.07867,0.08834,0.89869,1,1,0.995,0.99498,0.08952,0.07299,1.05747,0.0003962,0.0003962,0.0003962
83,1462.39,0.07026,0.08564,0.89077,1,1,0.995,0.99496,0.0871,0.06503,1.05471,0.0003764,0.0003764,0.0003764
84,1479.57,0.07244,0.08559,0.89651,1,1,0.995,0.99492,0.06472,0.06645,1.04901,0.0003566,0.0003566,0.0003566
85,1496.49,0.07211,0.08259,0.89791,1,1,0.995,0.99498,0.04107,0.04645,1.04514,0.0003368,0.0003368,0.0003368
86,1513.59,0.07241,0.08334,0.89881,1,1,0.995,0.99488,0.05343,0.06431,1.04812,0.000317,0.000317,0.000317
87,1530.75,0.0698,0.07883,0.8944,1,1,0.995,0.99488,0.05618,0.0567,1.04734,0.0002972,0.0002972,0.0002972
88,1548.04,0.07044,0.08258,0.89758,1,1,0.995,0.99489,0.03899,0.04704,1.04536,0.0002774,0.0002774,0.0002774
